col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 130 163.47871 1.49466 0.14000 2.37570 16.22569 1.52046 62.36072 16.79807 3900.0 38.75932 26.77975 0.25146 1.84734 105.55891 1.96516 3.21009e+01 13.53338 5.64411 1.59642 2.86949e+04 2.60521 3.16377e+04 1.26584 5.40856 1.52046 2.16749e+02 1.66038 1.00603e-04 1.70822 3.82184e+04 2.38041 1.66132e+04 1.36225 1.21298e+04 1.09229 2.76580e+05 1.79643 G020.7619-00.0646
"" "average model method 2" 4 480.00000 1.00000 0.10000 1.00000 96.00000 1.00000 84.25170 3.22195 11800.0 1.76130 1.74739 0.50982 1.00000 153.85390 1.00000 6.01308e+01 0.00000 15.15090 1.00000 1.19492e+06 1.00000 4.90531e+04 1.00000 32.00000 1.00000 9.58873e+02 1.00000 1.67330e-04 1.00000 1.22433e+06 1.00000 1.24871e+05 1.04693 1.22086e+05 1.02042 7.26611e+05 1.00000 G020.9636-00.0744
"" "average model method 2" 231 343.68010 1.55522 0.29927 3.38816 55.22956 1.71201 57.99170 19.84710 13200.0 65.15776 42.85724 0.24937 2.22620 157.40402 1.90747 4.40462e+01 13.31120 11.76097 1.48205 4.63158e+05 2.52021 4.39301e+04 1.19891 18.40986 1.71201 3.38710e+02 1.99299 3.44261e-04 2.19108 5.20074e+05 2.43153 1.88526e+05 3.07625 7.57106e+04 1.10706 2.49501e+05 2.34125 G021.3571-00.1766
"" "average model method 2" 5 245.11097 2.51847 0.39799 6.62846 58.40298 1.98989 69.63250 19.79722 10300.0 14.71744 7.45120 0.18262 4.08115 86.06470 2.21584 5.20283e+01 10.05297 12.82418 1.28079 6.03180e+05 2.55535 4.49415e+04 1.14527 19.46766 1.98989 3.51561e+02 3.95980 3.59558e-04 2.85380 6.98638e+05 2.17483 1.14595e+05 1.10076 9.48112e+04 1.03574 2.31352e+05 4.79500 G021.6034-00.1685
"" "average model method 2" 7 383.63751 1.38718 1.38921 1.75316 56.57633 1.58306 38.51074 7.98228 16200.0 8.49720 8.13208 0.12229 1.55609 243.67825 1.32219 3.23282e+01 8.05266 13.33119 1.21518 6.46570e+05 1.74085 4.48509e+04 1.12171 18.85878 1.58306 1.43908e+02 1.71028 1.36034e-03 1.25236 8.08725e+05 1.64652 3.93007e+05 1.15988 3.53266e+05 1.07781 7.57027e+04 1.73933 G021.8751+00.0075
"" "average model method 2" 280 174.54320 1.92757 0.18149 2.89481 16.62045 1.52890 62.98334 16.76878 4800.0 41.47922 30.93209 0.22821 2.29269 110.58824 2.64968 3.10531e+01 14.36177 6.29080 1.69441 3.47781e+04 2.61018 3.14431e+04 1.27754 5.54015 1.52890 1.92850e+02 1.71632 1.27607e-04 1.85350 4.58191e+04 2.35914 1.88828e+04 1.36539 1.39387e+04 1.13486 2.27199e+05 1.98056 G023.2654+00.0765
"" "average model method 2" 321 142.93950 2.06272 0.19835 3.06716 12.65911 1.61157 64.12272 17.30122 4900.0 39.20618 34.52070 0.19754 2.41976 85.21682 3.28576 3.02078e+01 17.05224 7.87611 1.71148 2.04950e+04 2.96404 2.46211e+04 1.47912 4.21970 1.61157 1.58481e+02 1.64264 1.12082e-04 1.96788 2.63864e+04 2.75720 1.04315e+04 1.37208 7.91575e+03 1.12353 1.94788e+05 1.92212 G023.4553-00.2010
"" "average model method 2" 265 120.69938 1.86319 0.27156 3.45587 19.39635 1.68754 51.03913 21.55936 5800.0 76.41692 51.67170 0.15514 2.48054 49.91580 2.98206 4.26027e+01 16.66862 6.89683 1.62553 4.99907e+04 3.14386 3.28813e+04 1.33272 6.46545 1.68754 2.05092e+02 1.93971 1.44121e-04 2.11460 6.39474e+04 2.92139 4.50590e+04 3.99768 1.14176e+04 1.11351 2.04917e+05 2.24729 G023.4835+00.0964
"" "average model method 2" 585 360.22760 1.36401 1.34294 2.08361 37.37818 1.72509 54.00258 22.21165 5200.0 116.45978 101.67504 0.12052 1.61843 254.61345 1.49841 2.61536e+01 11.85474 13.78588 1.68317 3.22922e+05 2.23436 3.70774e+04 1.38502 12.45939 1.72509 1.05454e+02 1.96829 1.09291e-03 1.56093 4.12528e+05 2.15353 2.85503e+05 3.02966 1.32923e+05 1.82401 6.29354e+04 2.00807 G023.7110+00.1705
"" "average model method 2" 74 365.64602 1.37662 1.18634 1.97097 55.94723 1.70513 26.15589 11.60122 7500.0 50.38563 26.40440 0.12919 1.61609 213.66446 1.40274 3.46777e+01 11.35221 13.29289 1.41216 5.91329e+05 2.19765 4.39237e+04 1.16872 18.64908 1.70513 1.57319e+02 1.86241 1.13865e-03 1.48977 7.38956e+05 2.03373 2.09038e+06 2.37673 4.58189e+05 1.23967 8.60142e+04 1.85754 G023.8618-00.1250
"" "average model method 2" 255 395.46548 1.27461 1.55610 1.75203 34.21421 1.53802 58.77997 20.19539 5000.0 9.40397 38.18244 0.11731 1.44799 311.32856 1.32479 2.15477e+01 8.55041 13.92447 1.74180 3.01897e+05 1.81961 3.62766e+04 1.32922 11.40474 1.53802 8.79388e+01 1.68211 1.24693e-03 1.38406 3.93264e+05 1.72824 2.33198e+05 1.84439 2.03175e+05 1.23904 5.21450e+04 1.72167 G024.4698+00.4954
