No.	Source_Name	Source_Type	RA(J2000)	Dec(J2000)	Flux(mJy) Angular_Size(arcsec)	MAGPIS 5GHz Flux(mJy)	Spectral index	S3_6	S4_5	S5_8	S8_0	Dist_h(kpc)	Diam(pc)	log(Tb)	log(Lbol)	Dist_G(kpc)
41	G017.1141-00.1124 UCHII	18:22:24.19	-14:05:32.70	17.21	2.84	7.01	0.1	28.7	38.88	97.05	182.44	10.4	0.096	1.66	4.74	3.37
42	G017.5549+00.1654 UCHII	18:22:14.78	-13:34:21.98	7.13	2.21	34.3	-0.16	63.88	80.79	637.16	1692.88	10.4	0.12	2.02	4.27	3.38
43	G017.9850+00.1266 UCHII	18:23:13.02	-13:12:40.26	10.42	3.56	12.15	-0.08	21.75	26.9	182.66	485.29	14.1	0.11	1.85	4.77	6.52
44	G018.1460-00.2839 UCHII	18:25:00.77	-13:15:27.50	856.18	23.42	18.55	0.02	104.15	81.18	390.02	999.52	13.7	0.21	1.61	 	6.2
45	G018.3024-00.3910 UCHII	18:25:42.30	-13:10:19.00	1277.88	14.63	546.59	-0.19	1395.5	1693.76	7930.3	24389.19	4.3	0.49	1.88	4.1	4.61
46	G018.4433-00.0056 UCHII	18:24:34.66	-12:52:05.45	81.31	2.41	2032.05	-0.06	1898.17	2404.38	14926.67	39597.3	3	0.21	2.47	4.59	5.73
47	G018.4614-00.0038 UCHII	18:24:36.33	-12:51:04.77	342.12	2.76	116.98	0.28	9.92	19.13	126.12	393.09	12	0.11	2.84	4.89	4.77
48	G018.6654+00.0294 UCHII	18:24:52.62	-12:39:19.85	5.65	1.74	548.25	0.84	31.09	111.95	358.18	958.09	12.1	0.13	3.34	5.16	4.85
49	G018.7106+00.0002 UCHII	18:25:04.14	-12:37:44.97	107.46	2.04	7.57	0.33	7.52	16.02	89.4	232.82	10.9	0.092	1.96	 	3.94
50	G018.7612+00.2630 UCHII	18:24:12.86	-12:27:41.66	51.38	1.79	177.74	0.85	49.17	74.35	285.55	585.66	2.6	0.018	3.1	3.6	6.09
51	G018.8250-00.4675 UCHII	18:26:59.05	-12:44:46.17	11.41	2.53	31.23	0.67	28.92	45.43	343.32	903.15	14	0.12	2.89	5.29	6.55
52	G018.8338-00.3002 UCHII	18:26:23.61	-12:39:40.70	131.38	6.72		0.3	53.07	69.51	601.06	1433.97	4.5	0.044	1.94	4.25	4.48
53	G019.0035+00.1280 UCHII	18:25:10.01	-12:18:37.84	6.41	2.75	219.21	0.19		 	 	 	12.6	0.4	2.15	5.42	5.32
54	G019.0754-00.2874 UCHII	18:26:48.43	-12:26:28.04	380.69	8.49	9.77	0.19	13.53	22.32	106.1	280.81	11.3	0.13	1.62	4.72	4.28
55	G019.0767-00.2882 UCHII	18:26:48.87	-12:26:23.46	129.48	2.53	605.36	-0.17	251.49	375.62	2487.01	6920.8	4.6	0.19	2.41	5.08	4.42
56	G019.4752+00.1728 UCHII	18:25:54.31	-11:52:21.42	37.22	3.74	231.03	0.04	68.24	100.86	946.54	3167.07	4.6	0.045	3	 	4.42
57	G019.6087-00.2351 UCHII	18:27:38.27	-11:56:36.07	2900.88	13.11	58.72	-0.09	12.48	27.45	175.62	483.39	14.1	0.23	2.11	 	6.71
58	G019.6090-00.2313 UCHII	18:27:37.40	-11:56:31.97	259.95	3.84	5170.32	0.23	760.05	1310.98	6499.63	17921.26	12.7	0.8	2.92	5.01	5.49
59	G019.7281-00.1135 UCHII	18:27:25.35	-11:46:56.32	26.23	3.36	1079.53	-0.53	56.47	151.16	652.04	2260.9	12.7	0.22	2.94	 	5.49
60	G019.7549-00.1282 UCHII	18:27:31.60	-11:45:54.72	36.52	1.64	27.19	-0.08	34.63	61.13	546.84	1412.71	4.3	0.063	2.05	3.84	4.68
61	G020.0720-00.1421 UCHII	18:28:10.78	-11:29:26.84	210.13	5.39	46.08	1.11		 	 	 	9.3	0.073	2.82	5.47	3.15
62	G020.0797-00.1337 UCHII	18:28:09.81	-11:28:48.69	14.09	2.17	416.03	0	115.94	203.74	846.74	2385.06	12.6	0.32	2.55	 	5.46
63	G020.0809-00.1362 UCHII	18:28:10.42	-11:28:48.88	498.19	2.98	89.89	-0.92		10.1	83.23	330.94	12.6	0.098	2.17	 	5.46
64	G020.3633-00.0136 UCHII	18:28:16.00	-11:10:24.21	55.11	2.93	857.54	1.02	22.21	86.98	281.08	742.47	12.6	0.16	3.44	5.2	5.46
65	G020.7619-00.0646 UCHII	18:29:12.36	-10:50:38.41	10.03	2.46	98.78	0.02	4.54	17.4	86.49	251.89	3.9	0.047	2.5	3.47	5.03
